ThreadID,WindowStartTime(s),TransitionRate
1373,016.5442305,68525
1373,116.5442305,66543
1373,216.5442305,68913
1373,316.5442305,64598
1373,416.5442305,66568
1373,516.5442305,69557
1373,616.5442305,66468
1373,716.5442305,65990
1373,816.5442305,72093
1373,916.5442305,67600
1373,1016.5442305,72686
1373,1116.5442305,69156
1373,1216.5442305,58415
1373,1316.5442305,73377
1373,1416.5442305,91939
1373,1516.5442305,530124
1373,1616.5442305,1385604
1373,1716.5442305,63649
1373,1816.5442305,63999
1263,025.1825178,92720
1263,125.1825178,84620
1263,225.1825178,90738
1263,325.1825178,86541
1263,425.1825178,86828
1263,525.1825178,84491
1263,625.1825178,86643
1263,725.1825178,90194
1263,825.1825178,88105
1263,925.1825178,83955
1263,1025.1825178,87128
1263,1125.1825178,84698
1263,1225.1825178,84430
1263,1325.1825178,64516
1263,1425.1825178,160066
1263,1525.1825178,763171
1263,1625.1825178,1294596
1263,1725.1825178,80616
1263,1825.1825178,72821
2530,015.1831853,63555
2530,115.1831853,69347
2530,215.1831853,67111
2530,315.1831853,63234
2530,415.1831853,63346
2530,515.1831853,62151
2530,615.1831853,64624
2530,715.1831853,64408
2530,815.1831853,69041
2530,915.1831853,62940
2530,1015.1831853,61869
2530,1115.1831853,65051
2530,1215.1831853,63610
2530,1315.1831853,87265
2530,1415.1831853,177563
2530,1515.1831853,568444
2530,1615.1831853,1698740
2530,1715.1831853,58009
2530,1815.1831853,58149
1401,037.585704,83082
1401,137.585704,83454
1401,237.585704,81408
1401,337.585704,79974
1401,437.585704,80196
1401,537.585704,81552
1401,637.585704,76195
1401,737.585704,80334
1401,837.585704,75538
1401,937.585704,83602
1401,1037.585704,80314
1401,1137.585704,82749
1401,1237.585704,82126
1401,1337.585704,111446
1401,1437.585704,125579
1401,1537.585704,1014675
1401,1637.585704,1010668
1401,1737.585704,79760
1255,037.584956,85445
1255,137.584956,85758
1255,237.584956,78454
1255,337.584956,78696
1255,437.584956,83070
1255,537.584956,81983
1255,637.584956,82249
1255,737.584956,79047
1255,837.584956,83712
1255,937.584956,79880
1255,1037.584956,84689
1255,1137.584956,78819
1255,1237.584956,82807
1255,1337.584956,123426
1255,1437.584956,121218
1255,1537.584956,990117
1255,1637.584956,1127411
1255,1737.584956,79872
1350,014.2247827,63232
1350,114.2247827,66758
1350,214.2247827,66380
1350,314.2247827,63763
1350,414.2247827,64357
1350,514.2247827,62241
1350,614.2247827,63428
1350,714.2247827,63663
1350,814.2247827,68326
1350,914.2247827,64119
1350,1014.2247827,61847
1350,1114.2247827,65295
1350,1214.2247827,58831
1350,1314.2247827,84472
1350,1414.2247827,153712
1350,1514.2247827,547250
1350,1614.2247827,1717062
1350,1714.2247827,58678
1350,1814.2247827,55892
1331,017.0084634,71350
1331,117.0084634,65871
1331,217.0084634,68661
1331,317.0084634,61687
1331,417.0084634,67155
1331,517.0084634,68374
1331,617.0084634,67209
1331,717.0084634,55317
1331,817.0084634,72129
1331,917.0084634,68428
1331,1017.0084634,69787
1331,1117.0084634,68040
1331,1217.0084634,65209
1331,1317.0084634,63385
1331,1417.0084634,102494
1331,1517.0084634,543468
1331,1617.0084634,1354504
1331,1717.0084634,66179
1331,1817.0084634,62570
1398,037.5856884,83435
1398,137.5856884,85648
1398,237.5856884,84879
1398,337.5856884,74608
1398,437.5856884,82683
1398,537.5856884,77657
1398,637.5856884,83140
1398,737.5856884,85032
1398,837.5856884,81466
1398,937.5856884,81570
1398,1037.5856884,82627
1398,1137.5856884,84558
1398,1237.5856884,80636
1398,1337.5856884,81302
1398,1437.5856884,138782
1398,1537.5856884,970739
1398,1637.5856884,1036049
1398,1737.5856884,70541
1370,015.522776,67851
1370,115.522776,65165
1370,215.522776,67480
1370,315.522776,67624
1370,415.522776,68457
1370,515.522776,66626
1370,615.522776,65675
1370,715.522776,65012
1370,815.522776,66321
1370,915.522776,63522
1370,1015.522776,62355
1370,1115.522776,67787
1370,1215.522776,66854
1370,1315.522776,66112
1370,1415.522776,114613
1370,1515.522776,505627
1370,1615.522776,1393532
1370,1715.522776,62020
1370,1815.522776,59907
1402,019.5576148,78734
1402,119.5576148,79484
1402,219.5576148,80193
1402,319.5576148,69144
1402,419.5576148,81583
1402,519.5576148,81541
1402,619.5576148,79960
1402,719.5576148,81055
1402,819.5576148,75647
1402,919.5576148,79249
1402,1019.5576148,83704
1402,1119.5576148,83670
1402,1219.5576148,78648
1402,1319.5576148,101006
