ThreadID,WindowStartTime(s),Variance
1373,016.5442305,39626377804740.93
1373,116.5442305,75253748589134.17
1373,216.5442305,35718655135200.48
1373,316.5442305,43838751760082.49
1373,416.5442305,45303096471177.87
1373,516.5442305,36466050243371.3
1373,616.5442305,43832603726840.38
1373,716.5442305,45522513475972.086
1373,816.5442305,33251808522603.63
1373,916.5442305,43007890672138.04
1373,1016.5442305,33311650242037.496
1373,1116.5442305,42141139383321.64
1373,1216.5442305,54459628701376.53
1373,1316.5442305,47528093633464.02
1373,1416.5442305,81107860153258.11
1373,1516.5442305,5237255615791.409
1373,1616.5442305,1737292833936.352
1373,1716.5442305,63182530570217.56
1373,1816.5442305,44209858163894
1263,025.1825178,6520270659437.663
1263,125.1825178,15676811560010.785
1263,225.1825178,5318218587552.347
1263,325.1825178,10253712963168.1
1263,425.1825178,8899018340755.395
1263,525.1825178,11873012976252.338
1263,625.1825178,9992283060559.877
1263,725.1825178,8669804060167.376
1263,825.1825178,12402043453692.553
1263,925.1825178,19115813072158.016
1263,1025.1825178,10587202190649.273
1263,1125.1825178,13518461423535.768
1263,1225.1825178,13095277969128.516
1263,1325.1825178,8012490244727509
1263,1425.1825178,19650375615940.023
1263,1525.1825178,1584059547502.5376
1263,1625.1825178,1384539472102.3267
1263,1725.1825178,20277141728921.793
1263,1825.1825178,34816924290768.363
2530,015.1831853,11855162264499.59
2530,115.1831853,8448927714131.096
2530,215.1831853,7744123123493.234
2530,315.1831853,12059019969574.566
2530,415.1831853,8883546967136.94
2530,515.1831853,16476486065295.822
2530,615.1831853,12200552518772.14
2530,715.1831853,13806588515755.426
2530,815.1831853,9083520769527.488
2530,915.1831853,15285390512216.834
2530,1015.1831853,9886632554926.459
2530,1115.1831853,14947532810938.521
2530,1215.1831853,11400465585810.707
2530,1315.1831853,6594615984598.889
2530,1415.1831853,4466974233894.986
2530,1515.1831853,1258727637851.9626
2530,1615.1831853,158143093753.0977
2530,1715.1831853,20091931062181.875
2530,1815.1831853,27859449504761.547
1401,037.585704,23400259015270.93
1401,137.585704,16383821044046.7
1401,237.585704,22008147014701.95
1401,337.585704,19721357850506.12
1401,437.585704,18292905771212.42
1401,537.585704,17922012568577.99
1401,637.585704,27307648605732.938
1401,737.585704,208566269079395.28
1401,837.585704,93916240542049.02
1401,937.585704,18323693927840.188
